17:14:28.692751 config: drop-rate=0.20, max-delay=10ms, seed=1
17:49:35.375554 [queue=1] packet #4, 127.0.0.1:50343 -> 127.0.0.1:8080, sz=2 is delayed for 4.7ms
17:49:35.391396 [queue=0] packet #4, 127.0.0.1:50343 -> 127.0.0.1:8080, sz=2 is delivered
17:52:28.965816 [queue=1] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delayed for 3.2ms
17:52:28.981595 [queue=0] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delivered
17:52:32.294399 [queue=0] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is dropped
17:52:35.296113 [queue=1] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delayed for 4ms
17:52:35.311944 [queue=0] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delivered
17:52:38.298282 [queue=1] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delayed for 5.1ms
17:52:38.314748 [queue=0] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delivered
17:52:41.299989 [queue=1] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delayed for 4ms
17:52:41.316246 [queue=0] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delivered
17:52:44.302176 [queue=1] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delayed for 4.4ms
17:52:44.318542 [queue=0] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delivered
17:52:47.303527 [queue=1] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delayed for 500µs
17:52:47.318873 [queue=0] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delivered
17:52:50.319384 [queue=0] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is dropped
17:52:53.335819 [queue=1] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delayed for 9ms
17:52:53.352014 [queue=0] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delivered
17:52:56.337865 [queue=0] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is dropped
17:52:59.339530 [queue=0] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is dropped
17:53:02.355768 [queue=1] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delayed for 3.1ms
17:53:02.371914 [queue=0] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is delivered
17:53:05.372310 [queue=0] packet #1, 127.0.0.1:57361 -> 127.0.0.1:8080, sz=9 is dropped
17:53:28.155904 [queue=1] packet #1, 127.0.0.1:57364 -> 127.0.0.1:8080, sz=9 is delayed for 2.2ms
17:53:28.171807 [queue=0] packet #1, 127.0.0.1:57364 -> 127.0.0.1:8080, sz=9 is delivered
17:53:28.172314 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:57364, sz=9 is dropped
17:53:31.471008 [queue=0] packet #1, 127.0.0.1:57364 -> 127.0.0.1:8080, sz=9 is dropped
17:53:34.472280 [queue=1] packet #1, 127.0.0.1:57364 -> 127.0.0.1:8080, sz=9 is delayed for 4.3ms
